region,compartment,instanceId,displayName,shape,agentInstalled,cpu_day_avg,cpu_day_p95,cpu_day_p99,cpu_day_max,cpu_day_samples,cpu_week_avg,cpu_week_p95,cpu_week_p99,cpu_week_max,cpu_week_samples,cpu_month_avg,cpu_month_p95,cpu_month_p99,cpu_month_max,cpu_month_samples,note
me-abudhabi-1,global,ocid1.instance.oc1.me-abudhabi-1.anqxkljrk475dqqckv7z6ce5rlddubmirbxpyk34tlani5yl7wtpfmapukaq,nats-worker-auh-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
ap-mumbai-1,global,ocid1.instance.oc1.ap-mumbai-1.anrg6ljrk475dqqcozrhajhv2tn3mxvwvcabgdh6pmbgnzi56cfgll7mabtq,nats-worker-bom-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
us-ashburn-1,global,ocid1.instance.oc1.iad.anuwcljtk475dqqcx557jraslezmpomec2ehvc3fnraciop437ionvbxeo2a,bastion-pub-instance-iad-0,VM.Standard.E5.Flex,true,0.12,0.18,0.18,0.18,1440,53.42,89.11,89.11,89.11,2834,8.03,66.44,89.11,89.11,48,
af-johannesburg-1,global,ocid1.instance.oc1.af-johannesburg-1.anvg4ljrk475dqqcgtgj5pja5mflbdjulqett56i6x2leyir244p7py55vha,nats-worker-jnb-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
eu-marseille-1,global,ocid1.instance.oc1.eu-marseille-1.anwxeljrk475dqqcgq35vehjbweawyno6nyb7z6utzanlwicdzm3naownnha,nats-worker-mrs-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
me-riyadh-1,global,ocid1.instance.oc1.me-riyadh-1.anqwuljrk475dqqcgim7xxgivrucsrhvzomtj6v6zb4p3h2kgow7g6hstdxq,nats-worker-ruh-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
ap-chuncheon-1,global,ocid1.instance.oc1.ap-chuncheon-1.an4w4ljrk475dqqctuadtycr563zbk3mjfywluvk74d4kmmbw355sm3lmk6a,nats-worker-yny-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
eu-amsterdam-1,global,ocid1.instance.oc1.eu-amsterdam-1.anqw2ljrk475dqqckfa5zfw6gybaximctls47bxqrnji2lywpq4ijzwuatra,nats-worker-ams-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
eu-frankfurt-1,global,ocid1.instance.oc1.eu-frankfurt-1.antheljsk475dqqctct7ay3ojotesvcjelggmmcypdkgktux35dtobii6sca,nats-worker-fra-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
us-ashburn-1,global,ocid1.instance.oc1.iad.anuwcljtk475dqqcercnylik4etzlszeoik5gv5bsuykumwouqwwf7isthha,generic-priv-instance-iad-0,VM.Standard.E5.Flex,true,0.04,0.08,0.08,0.08,1440,1.50,2.97,2.97,2.97,2623,0.08,0.10,2.88,3.18,44,
